genre,question_id,condition,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
wiki,1,full_context_rehearsal_lookup,False,No information provided.,2,True,1.2,8309,11,8320
wiki,2,full_context_rehearsal_lookup,False,No information is available.,2,True,1.3,8232,12,8244
wiki,4,full_context_rehearsal_lookup,False,Wisconsinan glaciation.,2,True,1.5,8848,16,8864
wiki,5,full_context_rehearsal_lookup,True,France,1,False,0.4,7175,2,7177
wiki,6,full_context_rehearsal_lookup,True,Portuguese,2,True,1.2,8285,10,8295
wiki,7,full_context_rehearsal_lookup,True,The Dutch East India Company.,2,True,1.3,8275,13,8288
wiki,3,full_context_rehearsal_lookup,True,1624.,2,True,3.2,10933,67,11000
wiki,8,full_context_rehearsal_lookup,True,Jan Rodrigues.,2,True,1.6,8277,11,8288
wiki,9,full_context_rehearsal_lookup,True,1625,2,True,1.0,8281,9,8290
wiki,10,full_context_rehearsal_lookup,True,Peter Stuyvesant,2,True,1.0,8281,12,8293
wiki,13,full_context_rehearsal_lookup,True,1735,1,False,0.4,7174,3,7177
wiki,11,full_context_rehearsal_lookup,True,New Orange.,2,True,1.0,8285,10,8295
wiki,12,full_context_rehearsal_lookup,False,No information.,2,True,1.0,8295,10,8305
wiki,14,full_context_rehearsal_lookup,True,August 1776.,2,True,1.1,8309,12,8321
wiki,15,full_context_rehearsal_lookup,True,The Great Fire of New York.,2,True,1.4,9152,17,9169
wiki,16,full_context_rehearsal_lookup,True,Philadelphia.,2,True,56.2,8313,9,8322
wiki,17,full_context_rehearsal_lookup,True,1827,2,True,56.1,8307,9,8316
wiki,18,full_context_rehearsal_lookup,False,There is no information about the Erie Canal in the passage.,2,True,56.2,9154,22,9176
wiki,19,full_context_rehearsal_lookup,True,25%,2,True,56.0,9013,12,9025
wiki,20,full_context_rehearsal_lookup,True,1898.,2,True,1.3,9950,16,9966
news,2,full_context_rehearsal_lookup,False,An Australian soldier.,1,False,1.0,24455,5,24460
news,4,full_context_rehearsal_lookup,False,Yes.,1,False,1.0,24457,3,24460
news,6,full_context_rehearsal_lookup,False,73rd,1,False,0.3,24455,3,24458
news,5,full_context_rehearsal_lookup,False,AC Milan,1,False,0.3,24457,3,24460
news,3,full_context_rehearsal_lookup,False,No information is given about a flight from Japan to the U.S.,2,True,1.9,25482,24,25506
news,9,full_context_rehearsal_lookup,False,There is no mention of this in the passage.,2,True,1.1,25433,17,25450
news,7,full_context_rehearsal_lookup,False,I don't have that information.,2,True,1.7,25138,14,25152
news,8,full_context_rehearsal_lookup,False,No information is given about Heineken sponsoring a program.,2,True,2.0,25562,19,25581
news,11,full_context_rehearsal_lookup,False,Afghanistan,1,False,0.5,24453,4,24457
news,10,full_context_rehearsal_lookup,False,Saturday,1,False,0.9,24459,2,24461
news,12,full_context_rehearsal_lookup,False,Palestinian militants,2,True,0.9,25268,10,25278
news,14,full_context_rehearsal_lookup,True,Three Chinese nationals.,1,False,0.6,24458,5,24463
news,15,full_context_rehearsal_lookup,True,Assistant Attorney General Alice Fisher.,2,True,1.2,25420,13,25433
news,13,full_context_rehearsal_lookup,False,Friday.,2,True,55.2,27766,1176,28942
news,16,full_context_rehearsal_lookup,False,"Kaka, Musharraf, Bush, Cheney.",2,True,54.3,27762,1185,28947
