genre,question_id,condition,correct,prediction,api_calls,lookup_used,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens
wiki,3,full_context_rehearsal_lookup_retrieval,True,1624,1.0,False,0.7,7159.0,3.0,7162.0
wiki,1,full_context_rehearsal_lookup_retrieval,True,1898,1.0,False,0.8,7165.0,3.0,7168.0
wiki,4,full_context_rehearsal_lookup_retrieval,False,Wisconsinan glaciation.,2.0,True,1.3,10452.0,13.0,10465.0
wiki,2,full_context_rehearsal_lookup_retrieval,True,"8,491,079",2.0,True,1.2,10514.0,12.0,10526.0
wiki,5,full_context_rehearsal_lookup_retrieval,True,France.,2.0,True,1.3,9572.0,9.0,9581.0
wiki,6,full_context_rehearsal_lookup_retrieval,True,Portuguese,2.0,True,1.4,10460.0,10.0,10470.0
wiki,10,full_context_rehearsal_lookup_retrieval,True,Peter Stuyvesant,1.0,False,0.4,7162.0,6.0,7168.0
wiki,11,full_context_rehearsal_lookup_retrieval,False,New Amsterdam,1.0,False,0.6,7164.0,3.0,7167.0
wiki,7,full_context_rehearsal_lookup_retrieval,True,The Dutch East India Company.,2.0,True,1.4,9564.0,13.0,9577.0
wiki,8,full_context_rehearsal_lookup_retrieval,True,Jan Rodrigues.,2.0,True,1.5,9566.0,11.0,9577.0
wiki,9,full_context_rehearsal_lookup_retrieval,True,1625,2.0,True,0.9,9409.0,9.0,9418.0
wiki,15,full_context_rehearsal_lookup_retrieval,False,The Great Irish Famine,1.0,False,0.8,7162.0,6.0,7168.0
wiki,16,full_context_rehearsal_lookup_retrieval,True,Philadelphia.,1.0,False,0.6,7167.0,3.0,7170.0
wiki,14,full_context_rehearsal_lookup_retrieval,True,August 1776.,2.0,True,0.9,10388.0,12.0,10400.0
wiki,13,full_context_rehearsal_lookup_retrieval,True,1735,2.0,True,1.0,9602.0,9.0,9611.0
wiki,17,full_context_rehearsal_lookup_retrieval,True,1827,2.0,True,1.7,10599.0,12.0,10611.0
wiki,12,full_context_rehearsal_lookup_retrieval,True,The Second Anglo-Dutch War.,2.0,True,3.3,10782.0,158.0,10940.0
wiki,20,full_context_rehearsal_lookup_retrieval,True,1898,1.0,False,51.2,7164.0,3.0,7167.0
wiki,19,full_context_rehearsal_lookup_retrieval,True,25%,2.0,True,52.5,10991.0,18.0,11009.0
wiki,18,full_context_rehearsal_lookup_retrieval,True,1825.,2.0,True,52.6,10597.0,10.0,10607.0
news,2,full_context_rehearsal_lookup_retrieval,False,An Australian soldier.,1.0,False,1.5,25072.0,5.0,25077.0
news,5,full_context_rehearsal_lookup_retrieval,False,AC Milan.,2.0,True,0.7,28381.0,10.0,28391.0
news,4,full_context_rehearsal_lookup_retrieval,False,Yes.,2.0,True,1.9,27854.0,9.0,27863.0
news,3,full_context_rehearsal_lookup_retrieval,False,Michio Kanda.,2.0,True,1.9,28017.0,39.0,28056.0
news,6,full_context_rehearsal_lookup_retrieval,True,Third.,2.0,True,0.8,28157.0,9.0,28166.0
news,8,full_context_rehearsal_lookup_retrieval,True,Gulder Ultimate Search.,2.0,True,0.7,27964.0,13.0,27977.0
news,7,full_context_rehearsal_lookup_retrieval,False,Nigerian Breweries,2.0,True,0.8,28022.0,12.0,28034.0
news,9,full_context_rehearsal_lookup_retrieval,False,Colonoscopy.,2.0,True,0.9,28798.0,11.0,28809.0
news,10,full_context_rehearsal_lookup_retrieval,True,June 2002.,2.0,True,0.8,27467.0,12.0,27479.0
news,11,full_context_rehearsal_lookup_retrieval,False,"Forrest City, Arkansas.",2.0,True,0.7,27933.0,40.0,27973.0
news,14,full_context_rehearsal_lookup_retrieval,True,Three Chinese nationals.,1.0,False,0.3,25075.0,5.0,25080.0
news,12,full_context_rehearsal_lookup_retrieval,False,Al Qaeda.,2.0,True,0.8,28711.0,10.0,28721.0
news,15,full_context_rehearsal_lookup_retrieval,True,Assistant Attorney General Alice Fisher.,2.0,True,1.1,28365.0,16.0,28381.0
news,16,full_context_rehearsal_lookup_retrieval,False,"Kaka, Musharraf, Bush, Pervez.",2.0,True,37.2,28379.0,1186.0,29565.0
news,17,full_context_rehearsal_lookup_retrieval,True,Demand full democracy be restored in Pakistan.,1.0,False,49.3,25076.0,9.0,25085.0
news,13,full_context_rehearsal_lookup_retrieval,False,2004.,2.0,True,50.2,28428.0,19.0,28447.0
news,1,full_context_rehearsal_lookup_retrieval,False,"Civilians, 60 wounded, 14 killed.",2.0,True,56.9,28649.0,226.0,28875.0
news,19,full_context_rehearsal_lookup_retrieval,True,Julio Cruz.,2.0,True,1.6,27482.0,11.0,27493.0
news,20,full_context_rehearsal_lookup_retrieval,False,Julio Cruz,2.0,True,3.9,28358.0,37.0,28395.0
news,18,full_context_rehearsal_lookup_retrieval,False,Yes.,2.0,True,3.8,27644.0,129.0,27773.0
novel,00950a36_1,full_context_rehearsal_lookup_retrieval,True,Olivia.,1.0,False,1.2,30307.0,4.0,30311.0
novel,00950a36_2,full_context_rehearsal_lookup_retrieval,False,Shah Amurath,1.0,False,1.4,30308.0,6.0,30314.0
novel,00950a36_0,full_context_rehearsal_lookup_retrieval,True,Shah Amurath,1.0,False,1.5,30311.0,6.0,30317.0
novel,00950a36_6,full_context_rehearsal_lookup_retrieval,False,Dorothy,1.0,False,0.5,30306.0,4.0,30310.0
novel,00950a36_7,full_context_rehearsal_lookup_retrieval,True,Conan.,1.0,False,1.3,30312.0,4.0,30316.0
novel,00950a36_8,full_context_rehearsal_lookup_retrieval,True,Olivia,1.0,False,1.2,30303.0,3.0,30306.0
novel,00950a36_9,full_context_rehearsal_lookup_retrieval,False,Shah Amurath's harem.,1.0,False,1.6,30303.0,10.0,30313.0
novel,00950a36_10,full_context_rehearsal_lookup_retrieval,True,Conan,1.0,False,0.7,30306.0,3.0,30309.0
novel,00950a36_13,full_context_rehearsal_lookup_retrieval,True,Shah Amurath,1.0,False,0.8,30304.0,6.0,30310.0
novel,00950a36_11,full_context_rehearsal_lookup_retrieval,False,No one.,2.0,True,1.0,33452.0,10.0,33462.0
novel,00950a36_14,full_context_rehearsal_lookup_retrieval,False,"A girdled loincloth-wearing, blood-stained, naked man.",1.0,False,1.0,30307.0,18.0,30325.0
novel,00950a36_15,full_context_rehearsal_lookup_retrieval,True,Conan.,2.0,True,1.2,32746.0,13.0,32759.0
novel,3e966645_2,full_context_rehearsal_lookup_retrieval,False,The Reverend Henry Clavering.,1.0,False,0.7,30303.0,9.0,30312.0
novel,3e966645_4,full_context_rehearsal_lookup_retrieval,False,Cough mixture.,1.0,False,0.7,30306.0,5.0,30311.0
